Date,SBMMTB3 Index,SPX Index,NDDUWI Index,M1WO000G Index,MLCLEUR Index,RAG Index,RAY Index,CCMP Index,MIMUEURN Index,NDDUE15 Index,NDUGE15 Index,SPBSMIT Index,TPX Index,RGUSHSBT Index,RU30VATR Index,LG30TRUU Index,LBUSTRUU Index,SP5NINFT Index,SP5NINDU Index,LG57TRUU Index,S5COND Index,S5CONS Index,MXWD Index,MXCN Index,RGUSH Index,FTR1GRCH Index,M1FMASN Index,MBCN1A Index,R1FqF Index,H0A0 Index,SPLGAL Index,SPUHYBD Index,MXMS Index,LD19TRUU Index,MXEFSC Index,MXEA Index,NSELMTR Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1995,0.004579,0.01922,0.029026,0.022776,0.017173,0.007259,0.016331,-0.00587,0.030351,0.03169,0.028003,0,0.064617,0,0.025698,0.035929,0.014034,0,0,0,0.009162,0.016031,0.029722,-0.046519,0,0.034975,0,0.02184045,0,0,0,0.008184,0.057077,0,0.029216,0.03985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1996,0.004494,0.033974,0.017883,0.017729,0.038839,0.029142,0.028973,0.007597,0.005292,0.006537,0.011648,0,0.022497,0,0.028795,0.042811,0.006641,0,0,0,0.021236,0.030454,0.021338,0.153052,0,0.122746,0,0.01051345,0,0,0,0.010065,0.044306,0,0.071404,0.003242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/1996,0.004086,0.00926,0.005885,0.007187,0.002177,0.020903,0.014788,0.038634,0.023072,0.018217,0.018048,0,-0.032476,0,0.008322,-0.017757,-0.017382,0,0,0,0.017717,0.016811,0.0038,0.029701,0,-0.014178,0,0.01399845,0,0,0,-0.001681,0.026616,0,0.003611,0.002679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1996,0.00424,0.009624,0.016433,0.014539,0.009372,0.003018,0.010069,0.001214,0.013478,0.011958,0.014295,0,0.053059,0,0.017365,0.005536,-0.006951,0,0,0,0.04178,-0.011016,0.016168,-0.046197,0,-0.000956,0,0.0096507,0,0,0,-0.009639,0.019182,0,-0.004197,0.022843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/1996,0.00412,0.014711,0.023309,0.020829,0.034179,0.031383,0.018942,0.081133,0.01118,0.007235,0.00371,0,0.046155,0,0.006036,0.018708,-0.005624,0,0,0,0.02463,-0.000703,0.024252,-0.051098,0,0.019226,0,0.00879765,0,0,0,-0.002796,0.06355,0,0.04245,0.029492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1996,0.004287,0.025719,0.000664,0.005849,-0.00348,0.036603,0.025566,0.044694,0.017267,0.007727,0.00715,0,-0.018569,0,0.013731,0.007694,-0.002031,0,0,0,0.031188,0.06026,0.002161,0.051766,0,0.016095,0,0.0104348,0,0,0,-0.001272,-0.020072,0,-0.044508,-0.016442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1996,0.004191,0.003798,0.004856,0.006826,0.004591,-0.005879,-0.003238,-0.046756,0.011479,0.011011,0.013717,0,0.019094,0,-0.000404,0.014426,0.013429,0,0,0,-0.017847,0.041088,0.005794,0.015039,0,-0.005311,0,0.0064562,0,0,0,-0.000839,-0.011966,0,0.01031,0.006604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/1996,0.004341,-0.044205,-0.035542,-0.037252,-0.035542,-0.065266,-0.052387,-0.088008,-0.01475,-0.012526,-0.014933,0,-0.074735,0,-0.039423,0.003989,0.002737,0,0,0,-0.068579,-0.025331,-0.037736,-0.035885,0,-0.051256,0,-0.01628145,0,0,0,-0.001081,-0.087354,0,-0.062344,-0.02945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1996,0.004388,0.021097,0.011286,0.008233,0.029842,0.030444,0.030347,0.056565,0.030611,0.029675,0.026618,0,-0.025731,0.139236,0.030151,0.0181,-0.001676,0,0,0,0.035668,-0.010833,0.012304,-0.003045,0.041625,0.041644,0,0.02348765,0,0,0,0.00375,0.02589,0,0.011894,0.002147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1996,0.004276,0.056288,0.038946,0.045525,0.038407,0.070531,0.054447,0.075093,0.016135,0.021041,0.026806,0,0.057386,0.073183,0.038417,0.033622,0.017427,0,0,0,0.02288,0.059123,0.03728,-0.009041,0.076349,0.052617,0,0.02353095,0,0,0,0.013645,0.00077,0,0.018428,0.027279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
