"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sanderling Venture Partners VI Co-Investment, L.P.","5,000,000",0,"5,000,000",0,"1,728,932","1,192,073",9/30/2020,"1,979,421",0,"1,979,421",-0.23,0.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sanderling Venture Partners VI, L.P.","5,000,000",0,"5,000,000",0,"2,338,263","133,726",9/30/2020,"4,336,480",0,"4,336,480",3.20,1.36
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sanderling Ventures VII, LP","10,000,000","2,300,000","6,706,713","993,287","899,431",0,9/30/2020,"8,041,685",0,"8,041,685",3.64,1.16
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sankaty Credit Opportunities III, LLC","20,000,000",0,"20,000,000",0,"23,068,832",0,6/30/2020,"14,606","-75,011","-60,405",2.09,1.15
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sankaty Credit Opportunities IV, L.P.","20,000,000","1,000,000","19,000,000",0,"27,244,065",0,9/30/2020,"430,201",0,"430,201",12.03,1.46
,,,,"Kamehameha Schools - Financial Assets Division",,,"SB Asia Investment Fund II, L.P.","15,000,000",0,"17,337,359","-1,067,988","43,772,385","1,044,361",10/31/2020,"5,131,159","-457,582","4,673,577",16.94,3.04
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sentinel Capital Partners V LP","15,250,000","3,076,050","14,085,264","78,667","14,591,337",0,9/30/2020,"11,804,662","-2,787,112","9,017,550",18.29,1.67
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sentinel Capital Partners VI LP","22,000,000","16,430,508","5,359,712","209,780","36,573",0,9/30/2020,"6,720,782",0,"6,720,782",19.34,1.21
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Growth 2010, LP","6,669,120","366,801","6,302,319",0,"4,628,622","5,257,188",9/30/2020,"11,643,828",0,"11,643,828",22.82,3.42
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Growth Fund III LP","5,278,977","52,789","5,226,188",0,"2,311,262","840,414",9/30/2020,"28,627,450","-62,120","28,565,330",38.05,6.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Growth Fund IV LP","12,278,522",0,"12,278,522",0,"315,423","1,048,340",9/30/2020,"40,682,818","-345,748","40,337,070",42.03,3.40
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Growth Fund V LP","18,417,060","460,426","17,956,634",0,0,0,9/30/2020,"19,497,826","644,598","20,142,424",7.35,1.12
