"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"UCP III Co-Investments (F), LP","3,718,961","381,152","4,168,444","374,969","5,490,439",0,8/20/2019,0,0,0,4.14,1.21
,,,,"Kamehameha Schools - Financial Assets Division",,,"Unison Capital Partners III (F), LP","9,202,681","244,201","10,215,436","2,170,184","13,613,185",0,8/20/2019,0,0,0,2.16,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"Valar Fund V LP","15,000,000","1,350,000","13,650,000",0,0,0,9/30/2020,"23,383,662","750,000","24,133,662",53.55,1.77
,,,,"Kamehameha Schools - Financial Assets Division",,,"Valar Fund VI LP","5,000,000","1,850,000","3,150,000",0,0,0,9/30/2020,"1,420,730","1,650,000","3,070,730",-6.40,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Valar Global Fund II LP","7,500,000",0,"7,500,000",0,0,0,9/30/2020,"22,377,611",0,"22,377,611",25.10,2.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"Valar Global Fund III LP","7,500,000",0,"7,500,000",0,0,0,9/30/2020,"22,500,000",0,"22,500,000",38.05,3.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Valar Global Fund IV LP","15,000,000","600,000","14,400,000",0,0,0,9/30/2020,"27,915,417","300,000","28,215,417",35.54,1.96
,,,,"Kamehameha Schools - Financial Assets Division",,,"Varde Fund IX, L.P.","25,000,000",0,"25,000,000",0,"54,432,050",0,11/30/2020,"85,763","-54,893","30,870",14.95,2.18
,,,,"Kamehameha Schools - Financial Assets Division",,,"Varde Fund X (C), L.P.","15,000,000",0,"15,000,000",0,"24,374,886",0,11/30/2020,"2,083,701","-42,923","2,040,778",10.39,1.76
,,,,"Kamehameha Schools - Financial Assets Division",,,"Venture First II, L.P.","1,000,000",0,"1,000,000",0,"301,731",0,3/31/2007,0,0,0,-12.24,0.30
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Vantage I LP","15,000,000","3,394,314","11,086,276","519,409",0,"1,859,600",9/30/2020,"12,678,850","376,093","13,054,943",26.42,1.29
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Venture Capital V LP","20,000,000","728,808","19,094,638","176,554","21,644,822","7,551,059",9/30/2020,"34,795,902","-5,129,191","29,666,711",35.60,3.05
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Venture Capital VI LP","25,000,000","1,044,045","23,332,503","623,452","438,166","9,390,753",9/30/2020,"42,294,449","-4,106,915","38,187,534",35.03,2.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Venture Capital VII LP","25,000,000","13,857,375","9,481,649","1,660,976",0,0,9/30/2020,"8,167,246","2,643,812","10,811,058",-3.02,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Venture Capital VIII LP","12,000,000","12,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Versant Voyageurs II LP","3,000,000","3,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Vestar Capital Partners V, L.P.","15,000,000",0,"14,697,945","1,323,058","20,366,386",0,9/30/2020,"1,936,999","-1,325,269","611,730",3.95,1.31
,,,,"Kamehameha Schools - Financial Assets Division",,,"Water Street Corporate Recovery Fund, L.P.","20,000,000",0,"20,000,000","221,273","39,328,132",0,9/30/2005,0,0,0,26.67,1.94
,,,,"Kamehameha Schools - Financial Assets Division",,,"Westfed Holdings, Inc.","207,000",0,"207,000",0,"13,038,480",0,12/31/2007,0,0,0,219.85,62.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Y Combinator ES20 LLC","9,130,435","7,377,392","1,679,628","73,415",0,0,9/30/2020,"1,295,680","620,498","1,916,178",14.56,1.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"YC II LP","90,909,091","11,261,395","74,856,804","4,790,892",0,0,9/30/2020,"98,137,001","1,144,478","99,281,479",14.58,1.25
,,,,"Kamehameha Schools - Financial Assets Division",,,"YCC20 LP","20,869,565","20,243,477","626,088",0,0,0,9/30/2020,"469,656","156,522","626,178",0.02,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Zero2IPO China Angel Fund III LP","5,000,000","1,493,754","3,091,812","585,628","171,194",0,9/30/2020,"4,013,485",0,"4,013,485",3.14,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"Zero2IPO China Fund II, L.P.","5,000,000","519,304","4,270,740","209,956","4,340,158",0,9/30/2020,"1,298,674",0,"1,298,674",3.77,1.26
,,,,"Kamehameha Schools - Financial Assets Division",,,"ZMC II LP","30,000,000","6,259,739","31,266,357","2,572,368","11,134,936",0,9/30/2020,"40,564,277","-2,873,324","37,690,953",14.50,1.44
,,,,"Kamehameha Schools - Financial Assets Division",,,"ZMC III LP","35,000,000","28,361,165","5,810,555","828,280","10,959",0,9/30/2020,"5,796,735","-10,959","5,785,776",-15.90,0.87
,,,,"Kamehameha Schools - Financial Assets Division",All,All,Total,"3,820,079,194","769,078,484","3,152,678,737","166,397,517","2,551,324,839","236,887,895",,"2,851,663,206","-41,926,543","2,809,736,663",N/A,0.84
,,,,All,All,All,Total,"3,820,079,194","769,078,484","3,152,678,737","166,397,517","2,551,324,839","236,887,895",,"2,851,663,206","-41,926,543","2,809,736,663",N/A,0.84
