Date,KSBF10010002,KSBF20020002,KSBF10022002,KSBF10021002,KSBF10023002,KSBF20018002,KSBF20019002,KSBF30027002,KSBF35011002,KSBF35013002,KSBF70010002,KSBF70093002,KSBF70076002,KSBF15011102,KSBF20012002,KSBF35010002,KSBF70011002,KSBF70081002,KSBF70085002,KSBF70016002,KSBF70032002,KSBF70068002,KSBF70039002,KSBF60012102,KSBF70086002,KSBF70087002,KSBF70057002,KSBF70045002,KSBF70084002,KSBF70050002,KSBF70090002,KSBF70083102,KSBF70078002,KSBF70094002,KSBF70091002,KSBF70089002,KSBF70092002,KSBF70097002,KSBF70046002,KSBF70095002,KSBF70053102,KSBF70052002,KSBF70013002,KSBF70053002,KSBF70029002,KSBF70062002,KSBF70055002,KSBF70061002,KSBF70020002,KSBF70054002,KSBF70054102,KSBF70021002,KSBF70058002,KSBF70028002,KSBF70082002,KSBF70079002,KSBF70022002,KSBF70066002,KSBF70047002,KSBF70047102,KSBF70070002,KSBF70075002,KSBF70083002,KSBF70043002,KSBF70060002,KSBF70088002,KSBF70080002,KSBF30028002,KSBF30017002,KSBF30017102,KSBF30024002,KSBF30024102,KSBF30024302,KSBF30025002,KSBF30016002,KSBF30024402
1995-11-30,0.043874,0.029775,0.03734925,0.0,0.022902,-0.000331,0.013887199999999999,0.0195932,0.0286173,0.0286173,0.031797,0.050423,0.0,0.034504,0.027369,0.034504,0.01796702,0.0,0.0,0.0103512,0.017549600000000002,0.0,0.004419,0.004419,0.004419,0.004419,0.0,0.014985,0.0148863,0.004419,0.00878488,0.0374337,0.00274824,0.0188388,-0.035582,0.0103512,0.004419,0.0034504,0.0,0.03119103,0.0188102,0.0,0.022902,0.0,2.9e-05,0.0,0.0,0.004419,0.0263244,0.0,0.0,-0.0190264,0.0,2.9e-05,0.0,2.9e-05,0.0103512,-0.0190264,0.0,0.0,0.0,0.0,0.0,0.0263244,0.0,0.0,0.0,-0.014232800000000002,-0.00220032,0.0138872,0.0,0.0,0.0,0.00022095000000000003,-0.024052,0.0
1995-12-31,0.01922,0.017173,0.00689605,0.0,-0.00587,0.030351,0.021840450000000004,0.0244898,0.0204984,0.0204984,0.022776,0.064617,0.0,0.029026,0.03985,0.029026,0.01395849,0.0,0.0,0.0087078,0.007688,0.0,0.004579,0.004579,0.004579,0.004579,0.0,0.014034,-0.0038155000000000003,0.004579,0.0020154400000000003,0.022497299999999998,-0.0007044,0.017833199999999997,-0.0232595,0.0087078,0.004579,0.0029026,0.0,0.00204698,0.028278400000000002,0.0,-0.00587,0.0,0.008184,0.0,0.0,0.004579,0.011532,0.0,0.0,0.022830800000000002,0.0,0.008184,0.0,0.008184,0.0087078,0.022830800000000002,0.0,0.0,0.0,0.0,0.0,0.011532,0.0,0.0,0.0,-0.0093038,0.025182,0.02184045,0.0,0.0,0.0,0.00022895,0.029216,0.0
1996-01-31,0.033974,0.038839,0.0276849,0.0,0.007597,0.005292,0.01051345,0.0205784,0.0159561,0.0159561,0.017729,0.022497,0.0,0.017883,0.003242,0.017883,0.01583245,0.0,0.0,0.0053649,0.0135896,0.0,0.004494,0.004494,0.004494,0.004494,0.0,0.006641,0.00493805,0.004494,0.0041352,0.0253364,0.0009116399999999999,0.0128028,0.076526,0.0053649,0.004494,0.0017883,0.0,0.01025726,0.030162,0.0,0.007597,0.0,0.010065,0.0,0.0,0.004494,0.020384399999999997,0.0,0.0,0.0177224,0.0,0.010065,0.0,0.010065,0.0053649,0.0177224,0.0,0.0,0.0,0.0,0.0,0.020384399999999997,0.0,0.0,0.0,0.0306104,0.08837711999999999,0.01051345,0.0,0.0,0.0,0.0002247,0.071404,0.0
1996-02-29,0.00926,0.002177,0.01985785,0.0,0.038634,0.023072,0.013998450000000003,0.014532800000000002,0.0064683,0.0064683,0.007187,-0.032476,0.0,0.005885,0.002679,0.005885,0.0008924100000000002,0.0,0.0,0.0017654999999999997,0.003704,0.0,0.004086,0.004086,0.004086,0.004086,0.0,-0.017382,0.025112100000000002,0.004086,0.00276224,0.0048669,0.00463608,0.00228,0.0148505,0.0017654999999999997,0.004086,0.0005885,0.0,0.01695447,-0.00866,0.0,0.038634,0.0,-0.001681,0.0,0.0,0.004086,0.005555999999999999,0.0,0.0,0.0106464,0.0,-0.001681,0.0,-0.001681,0.0017654999999999997,0.0106464,0.0,0.0,0.0,0.0,0.0,0.005555999999999999,0.0,0.0,0.0,0.0059402000000000005,-0.010208159999999999,0.01399845,0.0,0.0,0.0,0.00020430000000000003,0.003611,0.0
1996-03-31,0.009624,0.009372,0.0028670999999999996,0.0,0.001214,0.013478,0.0096507,0.0124266,0.0130851,0.0130851,0.014539,0.053059,0.0,0.016433,0.022843,0.016433,0.0069646,0.0,0.0,0.0049299,0.0038496000000000003,0.0,0.00424,0.00424,0.00424,0.00424,0.0,-0.006951,0.0007891,0.00424,0.00246112,0.013557099999999997,0.00014568,0.009700799999999999,-0.0230985,0.0049299,0.00424,0.0016433,0.0,0.016609839999999997,0.0074562000000000005,0.0,0.001214,0.0,-0.009639,0.0,0.0,0.00424,0.0057744,0.0,0.0,0.0076728000000000005,0.0,-0.009639,0.0,-0.009639,0.0049299,0.0076728000000000005,0.0,0.0,0.0,0.0,0.0,0.0057744,0.0,0.0,0.0,-0.0092394,-0.00068832,0.0096507,0.0,0.0,0.0,0.000212,-0.004197,0.0
1996-04-30,0.014711,0.034179,0.02981385,0.0,0.081133,0.01118,0.00879765,0.0081104,0.0187461,0.0187461,0.020829,0.046155,0.0,0.023309,0.029492,0.023309,0.005732279999999999,0.0,0.0,0.0069927,0.005884400000000001,0.0,0.00412,0.00412,0.00412,0.00412,0.0,-0.005624,0.05273645,0.00412,0.0019141599999999998,0.006919999999999999,0.00973596,0.014551199999999999,-0.025549,0.0069927,0.00412,0.0023309,0.0,0.030700279999999996,0.0167106,0.0,0.081133,0.0,-0.002796,0.0,0.0,0.00412,0.0088266,0.0,0.0,0.025419999999999998,0.0,-0.002796,0.0,-0.002796,0.0069927,0.025419999999999998,0.0,0.0,0.0,0.0,0.0,0.0088266,0.0,0.0,0.0,-0.0102196,0.01384272,0.00879765,0.0,0.0,0.0,0.00020600000000000002,0.04245,0.0
1996-05-31,0.025719,-0.00348,0.034772849999999994,0.0,0.044694,0.017267,0.010434800000000001,0.0145776,0.0052641,0.0052641,0.005849,-0.018569,0.0,0.000664,-0.016442,0.000664,0.0062848800000000005,0.0,0.0,0.0001992,0.010287600000000001,0.0,0.004287,0.004287,0.004287,0.004287,0.0,-0.002031,0.0290511,0.004287,0.0073158400000000005,0.011238499999999998,0.00536328,0.0012966,0.025883,0.0001992,0.004287,6.64e-05,0.0,0.02378376,0.0056066,0.0,0.044694,0.0,-0.001272,0.0,0.0,0.004287,0.015431399999999998,0.0,0.0,-0.0080288,0.0,-0.001272,0.0,-0.001272,0.0001992,-0.0080288,0.0,0.0,0.0,0.0,0.0,0.015431399999999998,0.0,0.0,0.0,0.0103532,0.0115884,0.0104348,0.0,0.0,0.0,0.00021435,-0.044508,0.0
1996-06-30,0.003798,0.004591,-0.005585049999999999,0.0,-0.046756,0.011479,0.0064562000000000005,0.0097494,0.006143399999999999,0.006143399999999999,0.006826,0.019094,0.0,0.004856,0.006604,0.004856,0.0033080799999999997,0.0,0.0,0.0014568,0.0015192,0.0,0.004191,0.004191,0.004191,0.004191,0.0,0.013429,-0.0303914,0.004191,0.0018592800000000003,0.001998,-0.00561072,0.0034763999999999997,0.0075195,0.0014568,0.004191,0.00048560000000000004,0.0,-0.01911689,0.010464999999999999,0.0,-0.046756,0.0,-0.000839,0.0,0.0,0.004191,0.0022788,0.0,0.0,-0.0047864,0.0,-0.000839,0.0,-0.000839,0.0014568,-0.0047864,0.0,0.0,0.0,0.0,0.0,0.0022788,0.0,0.0,0.0,0.0030078,-0.0038239199999999997,0.0064562,0.0,0.0,0.0,0.00020955000000000002,0.01031,0.0
1996-07-31,-0.044205,-0.035542,-0.0620027,0.0,-0.088008,-0.01475,-0.016281450000000003,-0.0266418,-0.0335268,-0.0335268,-0.037252,-0.074735,0.0,-0.035542,-0.02945,-0.035542,-0.009137790000000003,0.0,0.0,-0.0106626,-0.017682,0.0,0.004341,0.004341,0.004341,0.004341,0.0,0.002737,-0.057205200000000005,0.004341,-0.0075128,-0.026328999999999998,-0.01056096,-0.022641599999999998,-0.0179425,-0.0106626,0.004341,-0.0035542,0.0,-0.04962789000000001,-0.0038467999999999996,0.0,-0.088008,0.0,-0.001081,0.0,0.0,0.004341,-0.026523,0.0,0.0,-0.0349416,0.0,-0.001081,0.0,-0.001081,-0.0106626,-0.0349416,0.0,0.0,0.0,0.0,0.0,-0.026523,0.0,0.0,0.0,-0.007177,-0.03690432,-0.01628145,0.0,0.0,0.0,0.00021705000000000002,-0.062344,0.0
1996-08-31,0.021097,0.029842,0.028921799999999998,0.0,0.056565,0.030611,0.023487650000000002,0.024409600000000004,0.007409700000000001,0.007409700000000001,0.008233,-0.025731,0.1253124,0.011286,0.002147,0.011286,0.012473680000000003,0.0,0.1253124,0.0033857999999999996,0.008438800000000002,0.0,0.004388,0.004388,0.004388,0.004388,0.01456875,-0.001676,0.03676725,0.004388,0.0019868,0.023793299999999996,0.006787799999999999,0.0073824,-0.0015225,0.0033857999999999996,0.004388,0.0011286,0.0,0.028617419999999998,0.0139948,0.0,0.056565,0.0,0.00375,0.0,0.0,0.004388,0.0126582,0.0,0.0,0.010356,0.0,0.00375,0.0,0.00375,0.0033857999999999996,0.010356,0.0,0.0,0.0,0.139236,0.0,0.0126582,0.0,0.0,0.0,-0.0006090000000000001,0.02998368,0.02348765,0.0,0.0,0.0,0.00021940000000000002,0.011894,0.0
